,FWHMx_mm,FWHMy_mm,FWHMz_mm,volume_vox
13159,13.8773,15.6737,14.0558,223182
13160,15.1589,15.7904,13.9825,223182
13163,9.12007,9.80356,9.2827,220374
13165,8.07821,9.22562,8.59679,217488
13166,10.9749,12.2484,12.052,217690
13607,8.61262,8.43382,7.7296,152897
14045,18.8881,18.5918,18.4361,154654
14046,19.3177,18.7257,16.3296,154654
14169,14.304,16.2561,16.4213,156541
14170,17.4629,17.0859,18.3372,156541
14171,13.6703,14.9393,15.4212,156541
14172,16.9547,17.0625,18.7388,156541
14173,16.5124,16.2739,16.8361,156541
14174,11.6185,12.0842,11.7428,156541
14311,11.9908,12.1172,12.8401,125573
14344,13.4089,14.0346,12.5709,192255
14345,13.5823,13.6753,12.7351,192255
14346,13.1093,13.7534,12.7685,192255
14347,11.0145,10.8592,10.0492,192255
14480,10.2387,11.0382,9.33432,214122
14481,11.5433,12.5455,10.8829,214122
14482,12.9257,13.9863,12.7858,214122
14483,8.32092,8.58509,7.09428,214122
14484,11.5433,12.5455,10.8829,214122
14507,9.72494,10.0016,9.39428,223749
14996,7.24256,7.53974,7.81563,229665
14997,7.01578,7.39386,7.66522,229665
14998,7.21273,7.49229,7.62206,226620
14999,6.88014,7.28236,7.46794,226620
15001,14.7329,14.5693,13.8077,224658
15002,13.11,13.2478,12.7307,224658
15003,6.75323,6.88937,7.12691,224658
15004,6.5645,6.86472,7.01572,224658
15005,6.62523,6.83471,7.13207,224658
15006,6.96025,7.29391,7.2554,224658
15007,14.7329,14.5693,13.8077,224658
15009,13.3026,14.1832,13.4539,224658
15010,6.77239,7.2466,7.36505,224658
15011,6.62919,6.99191,7.29219,224658
15012,13.6473,13.6028,13.4899,224658
15013,7.11849,7.43504,7.6292,224658
15014,7.28723,7.6308,7.75918,224658
15015,7.20773,7.29087,7.71451,224658
15016,6.81088,7.09428,7.37105,224658
15017,7.02324,7.24905,7.57014,224658
15018,7.19641,7.59775,7.69303,224658
15019,8.34434,8.58423,8.59547,224658
15020,14.4608,14.2975,14.2541,224658
15021,6.89099,7.34315,7.5391,224658
15022,7.20567,7.54885,7.92892,224658
15481,18.0824,19.7014,20.3621,143826
15482,14.8327,15.812,15.5197,143826
15483,15.257,16.8755,16.7795,143826
15484,17.6033,17.7991,19.2248,143826
15485,17.8041,19.4745,20.4641,143826
15486,15.9789,17.2504,16.4488,143826
15487,16.3557,16.4319,16.7318,143826
1583,17.841,16.8223,17.5906,186532
1584,17.2718,16.7892,17.4295,186532
1585,14.8175,14.498,14.3311,186532
1586,14.364,13.8235,13.8889,186532
1587,15.6555,15.1443,14.9807,186532
1590,8.25704,8.1198,8.71557,238980
1591,7.61063,7.32169,7.85825,230503
16203,15.6989,14.876,14.5503,176973
16204,15.5127,14.7665,14.5097,173745
16205,11.371,11.6472,10.4188,171005
16208,17.1018,18.8668,16.0931,176973
16209,15.3387,17.3639,14.634,173745
16210,12.4429,12.6392,10.5481,171005
1709,11.7069,12.0001,10.5891,195538
1710,12.6851,13.3758,12.3962,195538
1711,13.0916,13.2996,12.8355,195538
1712,13.8607,14.3137,12.6762,195538
17289,9.40496,10.0832,9.60535,220374
17296,12.7915,12.5742,11.7528,166467
17297,13.0651,13.3559,13.2063,166467
17299,12.4763,12.1688,12.3205,166467
17306,13.716,13.5147,14.0632,253360
17307,11.9288,12.9868,13.4912,253360
17308,10.9931,11.2839,11.5742,253360
17309,10.4752,11.007,11.4992,253360
1750,13.9609,14.7126,14.1777,272510
1753,5.61323,6.32334,5.44578,117205
1754,4.13871,4.65907,4.05436,117205
1755,5.79836,6.57506,5.73312,117205
1757,5.94628,6.72765,5.81767,117205
1759,5.24143,5.91022,5.13703,117205
1760,4.603,5.22569,4.51999,117205
17976,14.6448,16.1547,14.7866,223182
17977,13.8958,15.2587,13.6201,223182
17978,16.8788,17.5029,16.6233,223182
17999,12.303,12.6912,11.991,217922
18000,11.6675,12.0905,11.6118,217922
18001,10.0613,10.4651,9.9848,217922
18002,13.2364,13.9934,13.1816,217922
18003,13.2364,13.9934,13.1816,217922
18086,9.29918,10.5632,9.7699,217488
18513,10.1441,10.4177,9.73259,224871
18514,9.81339,9.93136,9.2696,224871
18515,9.93136,10.155,9.53064,224871
18516,10.1441,10.4177,9.73259,224871
18517,9.81339,9.93136,9.2696,224871
18518,9.93136,10.155,9.53064,224871
18519,12.6407,13.9206,12.8941,246023
18520,11.7124,12.3383,11.7199,246023
18521,15.2132,17.0915,16.7682,246023
18522,16.0557,16.6063,16.982,246023
18523,14.9787,16.2781,16.3231,246023
1897,14.1633,16.0041,14.5497,196365
1898,14.9304,16.441,15.0112,196365
1899,11.9564,13.1148,12.9926,196365
1900,10.1608,10.414,9.67882,196365
19053,12.5232,11.344,11.828,83091
19111,6.28845,6.27723,6.3587,226726
19112,5.91346,5.93828,5.95501,226726
19113,4.63258,4.75386,4.70968,226726
19115,8.4566,8.45427,8.70996,238811
19116,4.57527,4.50676,4.47567,238811
19117,5.31683,5.19452,4.93828,238811
19118,8.89851,8.81168,8.24422,238811
19119,8.89851,8.81168,8.24422,238811
19120,8.61696,8.40181,8.1599,238811
19121,8.61696,8.40181,8.1599,238811
19122,6.53391,6.62352,6.46188,236468
19123,8.36004,8.78757,8.67115,236468
19124,5.69579,5.62953,5.36805,236468
19125,12.4117,12.6176,12.4528,236468
19126,12.4117,12.6176,12.4528,236468
19127,15.1978,15.7602,16.1574,236468
19128,15.1978,15.7602,16.1574,236468
19129,12.2715,12.5115,12.5435,236468
19130,12.2715,12.5115,12.5435,236468
19131,14.0152,14.5191,14.5661,236468
19132,14.0152,14.5191,14.5661,236468
1923,9.88978,9.86634,9.73599,283123
1924,12.7259,13.074,12.1288,283123
1925,10.2723,11.5295,10.5593,283123
1926,10.9264,11.7071,10.4359,283115
1927,8.80758,9.34695,8.28497,283122
1928,9.8742,9.85681,8.79815,283123
1929,10.2854,10.378,9.18418,283123
1930,9.76542,10.3999,9.31952,283120
23569,7.59135,7.33433,7.71243,228483
23570,11.0736,10.2516,9.97339,228483
23602,9.32842,9.79318,8.96174,244993
23603,7.09678,7.24591,7.15289,244993
23604,7.68045,7.96241,7.67356,244993
23636,15.0293,15.7403,14.9103,227295
23645,9.16158,9.41649,8.83984,185794
23646,11.3632,11.8948,11.5113,185329
23647,12.1724,12.346,11.5461,190948
24538,16.6062,19.1282,22.5138,168772
24918,8.89436,10.443,10.9051,177939
2704,14.1222,15.7282,14.3542,228241
2705,13.7437,15.5394,14.4116,228241
2706,13.4628,15.7989,14.2665,228241
2707,11.2179,12.3674,11.8653,228241
2708,14.2173,16.254,14.575,228241
2709,11.6727,12.3357,11.4335,228241
2710,14.1327,15.8264,14.4508,228241
2711,14.2358,15.6565,14.3373,228241
2712,10.2841,11.54,10.9064,228241
2713,14.0642,15.4508,14.0562,228241
2714,14.5635,16.4286,14.874,228241
2715,13.7019,15.433,14.0468,228241
2716,9.76391,10.8108,10.5591,228241
2717,11.2179,12.3674,11.8653,228241
2718,10.0961,11.3093,10.8939,228292
2719,9.30963,9.83614,9.52224,228292
2720,9.68954,9.76618,9.69112,228383
2721,10.3293,11.5747,11.282,228383
2722,8.40793,8.41603,8.25933,228292
2723,10.3293,11.5747,11.282,228383
2724,8.52904,8.58926,8.5154,228383
2725,10.3697,10.8974,10.6613,228383
2726,8.52904,8.58926,8.5154,228383
2727,8.41636,8.30452,8.21073,228292
2728,8.41636,8.30452,8.21073,228292
2729,9.86187,9.91281,9.88103,228383
2730,10.0961,11.3093,10.8939,228292
2731,8.22369,8.11614,8.02015,228292
2732,9.68954,9.76618,9.69112,228383
2733,8.40793,8.41603,8.25933,228292
2734,6.97747,6.7414,5.74341,152630
2735,11.7263,14.2838,10.0976,174274
2737,16.6309,16.9406,13.2173,174274
2738,16.7955,17.9368,13.3777,174274
2739,16.7955,17.9368,13.3777,174274
2743,13.4514,14.4456,13.2692,240622
2744,14.6233,16.0865,15.5242,240622
2754,7.3167,6.84714,6.06771,151275
2755,16.2816,15.7477,12.5483,172597
2756,11.9184,14.1208,11.1357,172597
2758,16.2816,15.7477,12.5483,172597
2759,16.0864,15.1033,12.7081,172597
2761,16.0864,15.1033,12.7081,172597
2765,6.31838,7.1467,6.97543,162128
2767,13.3239,14.7256,13.3709,182737
2772,14.3466,14.6127,13.7942,182737
2773,15.9529,16.6688,15.175,182737
2775,15.9529,16.6688,15.175,182737
2784,14.6679,14.6028,13.3026,182737
2817,12.9045,12.449,12.0951,223693
2818,10.1374,9.86098,9.75908,223693
2819,12.4279,12.2841,12.7553,223508
2820,9.78913,9.72909,9.97558,223508
2821,12.4223,12.0433,11.9386,223693
2822,13.2912,12.8392,13.3255,223508
2823,13.6778,13.002,13.5649,222205
2824,12.3604,12.1739,12.2376,223693
2825,12.5542,12.848,13.2,223508
2826,14.8301,14.2801,14.8561,222205
2827,12.2881,11.9721,12.34,223508
2828,9.51673,9.57252,10.1374,223508
2829,9.90478,9.86286,9.76239,223693
2830,9.64289,9.59445,9.15437,223693
2831,10.5959,10.1658,9.53613,222205
2832,8.38572,8.32421,8.28117,222205
2833,7.97046,7.71421,6.83644,222205
2834,10.1716,10.3084,10.2206,222205
2835,11.7493,11.3522,11.5982,223693
2836,12.0692,11.751,12.0058,223508
